region,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)"
North America,1990.0,96.38321125,97.10856125,100.53700510660804,100.03690550062385,90.6125674777561,72.52588187323677,1.828625,80.08500000000001,73.97,87.44799379999999,78.79457526000002
North America,2000.0,99.73112,99.1522,97.0697093963623,96.98801574707036,87.40567626953123,62.99722061157227,1.81265,81.27,76.34,88.88475833,82.20103284000001
North America,2010.0,97.15849375,96.98791875,103.45260281032992,103.23930697970918,90.09836408827046,66.2259750366211,1.693975,82.545,78.005,89.84798199,83.93065391
North America,2020.0,,,,,,,,,,,
South Asia,1970.0,35.054165,66.22369357142857,7.720768131713069,22.468367687861125,0.9651119881868361,3.317188712954521,6.1804125,49.438712499999994,48.93945,43.8089007875,42.400235455
South Asia,1980.0,51.6596775,77.867936875,22.314946797461737,36.78923158146086,2.2551551935076715,6.0687064578135805,5.6888375,55.58200000000001,54.53075,52.58280836,49.8019379625
South Asia,1990.0,58.53466166666667,70.147753,39.92816510518391,49.82372887293498,3.274569848179818,6.505472382903099,4.613225,61.703725,59.75715,61.8016677275,57.1130078725
South Asia,2000.0,76.09126718333333,82.68742313333334,41.62078522364299,48.33709012031555,5.606461219688256,8.857914705624188,3.489625,67.62201250000001,65.0980375,70.516638005,65.1347564775
South Asia,2010.0,81.91577157407407,84.7808636111111,64.87708795819965,67.66168984731038,16.64416800816854,15.978721398853121,2.7217000000000002,71.80675,68.868425,76.788636295,71.06697901
South Asia,2020.0,,,,,16.9726505279541,15.9781398773193,,,,,
Sub-Saharan Africa,1970.0,50.55606397380952,58.43086168888889,7.774502880612863,15.091619027551982,0.24782809824407717,1.2163599066015711,6.917985714285715,48.08091785714286,44.952685714285714,42.850089909999994,36.315844649285715
Sub-Saharan Africa,1980.0,46.80436266858975,56.624790276709405,15.536697544906923,25.125530557203714,0.7788701310492725,2.641958812862907,6.713071428571429,51.814296428571424,48.47104642857143,47.91555383857143,40.626150842142856
Sub-Saharan Africa,1990.0,50.73620875793651,60.56844353174603,21.313216627900395,26.553593793383016,1.625453471963531,3.2391238892944783,6.068617857142857,51.52828928571429,48.094614285714286,45.81912030071429,38.2294888
Sub-Saharan Africa,2000.0,67.57021864665032,72.73133218112744,30.368066460952587,37.264952898175956,2.9554564674002135,5.512287089662019,5.509414285714286,54.13830357142857,51.24197857142857,48.09386763714286,41.52520833357143
Sub-Saharan Africa,2010.0,79.11707561245422,82.23649810173993,40.87135812971052,46.15146726551264,8.484058982371465,11.496199694537973,4.8822214285714285,61.82370000000001,58.48553571428572,60.58003489714285,53.04941508714286
Sub-Saharan Africa,2020.0,,,,,,,,,,,
