region,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)",average_value_Births attended by skilled health staff (% of total),"average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)",decade,secondary_gap
East Asia & Pacific,1979.0,98.61157,98.88204,50.77502352941176,,35977.0,30828.0,,,,,,,,,,0.577610015869141,1.92087996006012,1.20220005512238,,,,19.0636196136475,39.4905281066895,28.5617694854736,4.063823529411764,64.10794117647059,58.81511764705882,211.82252941176472,287.1418823529412,95.42303848266602,94.22243690490723,48.70821452140809,92.001925,93.20725999999999,2.2824633333333333,3.3621966666666663,56.00376749038694,69.311125,62.10247675577799,74.81801,10.373751141130924,13.606083676218976,45.491431818181816,45.597761428571424,33.5249582926432,44.44667142857143,66.3061734835294,55.60035008235294,,,1970.0,-5.5068850000000005
East Asia & Pacific,1980.0,,,49.77185882352941,,,,,,,,,,18.072158416112252,28.642016728719085,23.25701824824014,4.901347190141679,8.795490026473995,6.793174190180643,9.53180027008057,19.4898300170898,14.3146095275879,13.929979821046198,21.017759641011555,17.38530826568604,3.993705882352941,64.6410588235294,59.43041176470588,203.8038235294118,278.0967647058824,95.9007085164388,94.48476409912114,55.34015189276803,92.64706,92.04913,2.5138779999999996,3.3578780000000004,59.26497963496617,72.01108500000001,63.099771227155415,76.219885,10.217437600716952,13.542713686823841,45.71716727272727,46.47456,35.73251043047224,45.2716725,67.24781585176471,56.49580927058824,,,1980.0,-4.2087999999999965
East Asia & Pacific,1981.0,89.091095,94.12341,48.76869411764706,,968934.5,439383.5,,,,,,,,,,27.1212692260742,33.849910736084,30.3598899841309,,,,55.4109001159668,58.0787506103516,56.6950416564941,3.9226470588235296,65.38141176470587,60.113176470588236,194.89270588235294,269.84217647058824,93.94649696350095,94.41349601745605,55.811412517841056,95.621915,96.605895,2.59415,3.4125799999999997,53.4445858001709,75.02419499999999,56.94631314277649,78.090345,15.139157783985146,17.150888025760658,46.00817071428571,45.96938333333333,32.23568562098912,41.814375,68.18945821999999,57.391268458823525,,,1980.0,-3.0661500000000004
East Asia & Pacific,1982.0,96.6765,95.60613000000001,47.7655294117647,,112231.5,161170.5,,,,,,,14.1663703918457,30.9766807556152,22.799280166626,0.530610024929047,1.47862994670868,1.01745998859406,,,,4.25161981582642,8.91769981384277,6.64788007736206,3.8542941176470586,66.035,60.776705882352935,187.0100588235294,261.0555294117647,90.36149787902832,89.10937023162842,49.91953420639039,86.810855,82.49009000000001,1.2201325,1.376535,55.91764609018961,82.36259,60.17152976989746,79.8442,13.155131442206255,17.444258655820583,45.555704166666665,46.09009714285714,35.87229701450894,41.43320333333333,69.1311005882353,58.286727647058825,,,1980.0,2.5183899999999966
East Asia & Pacific,1983.0,96.16546333333334,96.18399333333333,47.0338,,102536.0,132039.33333333334,,,,,,,10.6999998092651,22.5513000488281,16.5,1.5,2.5216600894928,2.0,1.5,2.5216600894928,2.0,,,,3.771647058823529,66.62105882352941,61.375470588235295,182.89770588235294,257.0157058823529,91.77186075846356,89.984317779541,50.371598985460054,92.36766,89.43728666666668,1.5176949999999998,1.9793950000000002,63.615092992782586,84.38122,64.9896593093872,82.46216,9.948251443249841,15.478441766330167,46.65654,47.53280888888889,31.508439540863023,46.8376325,69.73130882352942,58.95631735294118,,,1980.0,1.9190600000000018
East Asia & Pacific,1984.0,94.63749666666666,96.21823,46.302070588235296,,168636.66666666666,111675.0,,,,,,,,,,,,,,,,,,,3.691529411764706,67.20888235294117,61.96111764705882,179.30570588235295,252.8065882352941,91.13229370117186,89.14747619628903,54.090514096346766,96.387275,95.54420999999999,1.3922999999999999,1.8010150000000003,54.3585786819458,80.84483499999999,57.562880873680115,82.72011,13.201746493577948,19.56640823682149,46.18505076923077,45.60469222222222,35.0712315241496,41.8786425,70.33151705882354,59.62590705882353,,,1980.0,-1.8752750000000091
East Asia & Pacific,1985.0,97.65659,97.276685,45.570341176470585,,26357.5,35752.0,,,,,,,,,,5.73833990097046,18.0799503326416,11.7081699371338,,,,46.014461517334,68.6503067016602,56.9637718200684,3.6253529411764704,67.63511764705882,62.441941176470586,176.2005882352941,248.8784705882353,90.28453826904297,87.39942073822023,57.1157069736057,96.56602,97.463265,1.30239,1.673562,66.88837464650474,81.76375,68.01983006795247,82.77758,11.271596185863018,15.856189832091328,47.14525846153846,47.72829714285714,45.75142319997152,44.678670000000004,70.93172529411765,60.29549676470589,,,1980.0,-1.0138299999999987
East Asia & Pacific,1986.0,96.57397333333334,96.19216999999999,44.83861176470588,,102174.33333333333,114838.66666666667,,,,,,,25.3121204376221,33.638801574707,29.3716697692871,3.36349010467529,5.60551023483276,4.45629978179932,,,,,,,3.538117647058823,68.05947058823529,62.86929411764706,172.2845882352941,244.75317647058824,84.51715278625488,83.90287590026855,53.21009670604358,98.77613,99.15114,1.7805875,2.2270125,50.16588311725193,82.97851,53.044589148627374,83.91215,14.517051686843244,20.037348051865905,45.79822307692307,45.622741000000005,42.01077609592014,43.58642999999999,71.53193352941176,60.96508647058823,,,1980.0,-0.933640000000004
East Asia & Pacific,1987.0,95.26935,97.494144,44.10688235294118,51.1,1276067.4,432631.6,,,,,,,,,,,,,,,,,,,3.4749999999999996,68.39541176470588,63.24358823529412,169.03011764705883,240.9240588235294,86.11920318603518,83.85345306396485,55.71093453301326,98.68974,99.18392,0.988334,1.06699,56.081662714481354,82.84559,57.94700980186464,82.18164,28.8911101023356,38.07447624206544,46.475561666666664,46.241571111111114,41.09624317714147,44.422155000000004,72.13214176470588,61.634676176470585,,,1980.0,0.6639499999999998
East Asia & Pacific,1988.0,97.74081000000001,96.68079499999999,43.45252941176471,,74206.5,110407.0,,,,,,,,,,,,,,,,,,,3.422411764705882,68.70870588235294,63.52911764705882,166.18305882352942,238.9678823529412,85.19738693237306,85.23674163818357,51.26172971725464,,,0.970754,1.06723,48.317769103580055,83.61409,52.85430516137016,83.54502,20.130087709426885,25.918258047103897,45.04496,45.022424,40.57400298118591,40.83608,72.54671259999999,62.017959376470586,,,1980.0,0.06907000000001062
East Asia & Pacific,1989.0,87.614522,91.301658,42.79817647058823,,862375.2,111115.2,,,,,,,10.1348600387573,17.0766296386719,13.3248901367188,1.72351002693176,3.70256996154785,2.63298010826111,,,,,,,3.3293529411764706,69.04499999999999,63.83205882352941,163.79382352941175,236.95658823529413,85.0906791687012,85.39577198028566,54.04993872209029,,,1.000192,0.9960799999999999,52.64704155921935,84.31181000000001,56.352893590927124,84.39164,26.32267296314241,32.28302216529846,45.14291909090909,45.758454444444446,40.717405319213874,42.82335875,72.96128343529412,62.40124257647058,,,1980.0,-0.07983000000000118
East Asia & Pacific,1990.0,96.48647,97.700885,42.14382352941176,86.78333333333335,267085.6666666667,116771.33333333333,,,,,,,42.65775299072266,51.20602264404298,45.0996389389038,9.566018033027664,14.732361841201802,10.397551536560053,16.7180500030518,25.9104099273682,21.1348896026611,23.737095355987552,37.80255460739135,30.6175456047058,3.2614117647058825,69.35735294117647,64.11717647058823,161.43964705882354,234.97376470588236,87.09168243408203,86.95178508758548,49.55643634796143,,,0.9579466666666666,1.08402,46.715456771850604,84.90877,49.603969478607176,84.29273,25.663612201809876,30.357319355010993,46.69282416666667,46.054860000000005,42.12660408020019,42.283066,73.37585427058823,62.784525776470595,,,1990.0,0.6160399999999981
